Designator,Mid X,Mid Y,Rotation,Layer
C1,336.623601,-160.145601,180.0,top
C10,146.802473,-160.143801,180.0,top
C11,125.711237,-160.171001,180.0,top
C12,104.62,-160.143802,180.0,top
C13,109.077698,-132.627012,0.0,top
C14,130.168934,-132.628817,0.0,top
C15,151.260172,-132.628812,0.0,top
C16,172.351409,-132.628813,0.0,top
C17,193.442641,-132.628813,0.0,top
C18,214.533882,-132.628817,0.0,top
C19,235.625117,-132.628813,0.0,top
C2,315.532364,-160.1438,180.0,top
C20,256.716356,-132.628814,0.0,top
C21,277.807587,-132.628816,0.0,top
C22,298.898824,-132.628813,0.0,top
C23,319.990061,-132.601612,0.0,top
C24,341.081296,-132.628812,0.0,top
C3,294.441127,-160.143801,180.0,top
C4,273.349892,-160.1438,180.0,top
C5,252.258655,-160.143801,180.0,top
C6,231.167418,-160.1438,180.0,top
C7,210.076183,-160.1438,180.0,top
C8,188.984946,-160.143801,180.0,top
C9,167.89371,-160.143801,180.0,top
J1,88.85862616078329,-154.22942762025133,54.0,top
J2,354.8982263003749,-154.03064001806754,342.0,top
J3,86.810851,-131.147777,90.0,top
J4,362.011761,-142.825042,90.0,top
R1,95.279838,-154.630293,324.0,top
R2,95.707672,-159.203565,324.0,top
U1,336.66,-152.144601,180.0,top
U10,146.803617,-152.141002,180.0,top
U11,125.708464,-152.142801,180.0,top
U12,104.61331,-152.141001,180.0,top
U13,109.041297,-140.628014,0.0,top
U14,130.136455,-140.628015,0.0,top
U15,151.231605,-140.631611,0.0,top
U16,172.250272,-140.587164,0.0,top
U17,193.421911,-140.631613,0.0,top
U18,214.517069,-140.631614,0.0,top
U19,235.612222,-140.631616,0.0,top
U2,315.564847,-152.144601,180.0,top
U20,256.680475,-140.587164,0.0,top
U21,277.802527,-140.631612,0.0,top
U22,298.897684,-140.631612,0.0,top
U23,319.992834,-140.629811,0.0,top
U24,341.087991,-140.631614,0.0,top
U3,294.469693,-152.141001,180.0,top
U4,273.37454,-151.683498,180.0,top
U5,252.279386,-152.141001,180.0,top
U6,231.184232,-152.141001,180.0,top
U7,210.089079,-152.141001,180.0,top
U8,188.993925,-151.931228,180.0,top
U9,167.89877,-152.141001,180.0,top
