Designator,Mid X,Mid Y,Layer,Rotation
C1,336.648528,-160.149235,top,180
C2,315.557292,-160.147435,top,180
C3,294.466055,-160.147435,top,180
C4,273.374819,-160.147435,top,180
C5,252.283583,-160.147435,top,180
C6,231.192346,-160.147435,top,180
C7,210.10111,-160.147435,top,180
C8,189.009873,-160.147435,top,180
C9,167.918637,-160.147435,top,180
C10,146.827401,-160.147435,top,180
C11,125.736164,-160.174635,top,180
C12,104.644928,-160.147435,top,180
C13,109.102629,-132.630648,top,0
C14,130.193865,-132.632449,top,0
C15,151.285102,-132.632448,top,0
C16,172.376339,-132.632448,top,0
C17,193.467574,-132.632448,top,0
C18,214.55881,-132.632449,top,0
C19,235.650048,-132.632449,top,0
C20,256.741285,-132.632448,top,0
C21,277.83252,-132.632448,top,0
C22,298.923757,-132.632449,top,0
C23,320.014993,-132.605248,top,0
C24,341.106229,-132.632449,top,0
R1,98.072328,-153.799235,top,0
R2,98.910528,-158.777635,top,0
U1,336.684928,-152.148235,top,180
U2,315.589774,-152.148235,top,180
U3,294.494621,-152.144635,top,180
U4,273.399467,-151.687132,top,180
U5,252.304313,-152.144635,top,180
U6,231.209159,-152.144635,top,180
U7,210.114006,-152.144635,top,180
U8,189.018852,-151.934862,top,180
U9,167.923698,-152.144635,top,180
U10,146.828544,-152.144635,top,180
U11,125.733391,-152.146435,top,180
U12,104.638237,-152.144635,top,180
U13,109.066229,-140.631649,top,0
U14,130.161383,-140.631648,top,0
U15,151.256536,-140.635248,top,0
U16,172.35169,-141.092752,top,0
U17,193.446844,-140.635248,top,0
U18,214.541999,-140.635248,top,0
U19,235.637152,-140.635249,top,0
U20,256.732306,-140.845021,top,0
U21,277.827459,-140.635248,top,0
U22,298.922613,-140.635249,top,0
U23,320.017766,-140.633447,top,0
U24,341.11292,-140.635248,top,0
